stable_id,resource,form,component,property,english,current_jpn,group,visibility,static_evidence,string_comparison_evidence,save_load_evidence,dispatch_method,safety_classification,reason
TDLGPICKFORCE/rgDayNight/Items.Strings[0],TDLGPICKFORCE,dlgpickforce,rgDayNight,Items.Strings[0],Day,(英語のまま),PICKFORCE,medium,oldCODE raw=12 ANSISTRING=6 short=0 newEXE=0 Data=1files 旧新DFM一致=True,独立リテラル6件（文脈: [ansistring] ..... ...........%d%m%E..........||.........Night...........Twiligh）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING6件 — 'SeaState'/'Year'/'Month'/'Hour' と並ぶシナリオ/セーブのキー名として実在
TDLGPICKFORCE/rgDayNight/Items.Strings[1],TDLGPICKFORCE,dlgpickforce,rgDayNight,Items.Strings[1],Night,(英語のまま),PICKFORCE,medium,oldCODE raw=27 ANSISTRING=1 short=0 newEXE=0 Data=12files 旧新DFM一致=True,独立リテラル1件（文脈: [ansistring] .....%d%m%E..........Day.........||...........Twilight............L）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING1件 — 'Day'/'Twilight' の時間帯表示テーブル
TDLGPICKFORCE/rgWeather/Items.Strings[0],TDLGPICKFORCE,dlgpickforce,rgWeather,Items.Strings[0],Good,(英語のまま),PICKFORCE,medium,oldCODE raw=8 ANSISTRING=3 short=0 newEXE=0 Data=3files 旧新DFM一致=True,独立リテラル3件（文脈: [ansistring] ...or............Fair............||............Elite...U.....SVW3..）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING3件 — 'Poor'/'Fair'/'Average'/'Veteran' 等の品質テーブルと同名
TDLGPICKFORCE/rgWeather/Items.Strings[1],TDLGPICKFORCE,dlgpickforce,rgWeather,Items.Strings[1],Bad,(英語のまま),PICKFORCE,medium,oldCODE raw=1 ANSISTRING=0 short=0 newEXE=0 Data=2files 旧新DFM一致=True,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=0 events=なし,UNRESOLVED,独立リテラル0だが、同グループ 'Good' が品質テーブルと衝突しグループ一括保留
TDLGPICKFORCE/rgStartRange/Items.Strings[0],TDLGPICKFORCE,dlgpickforce,rgStartRange,Items.Strings[0],Classic,(英語のまま),PICKFORCE,medium,oldCODE raw=0 ANSISTRING=0 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=0 events=なし,SAFE_INDEX_ONLY,独立リテラル0（'Classic'は全CODE中0出現、'Long'の一致は'Longitude'等の部分文字列のみ）。TRadioGroup（状態=ItemIndex、DFMにItemIndex=0保持）・イベントハンドラなし・旧新DFM一致・Preferencesに文字列/該当キーなし。戦闘生成時の一時パラメータで恒常保存面も未検出
TDLGPICKFORCE/rgStartRange/Items.Strings[1],TDLGPICKFORCE,dlgpickforce,rgStartRange,Items.Strings[1],Long,(英語のまま),PICKFORCE,medium,oldCODE raw=25 ANSISTRING=0 short=0 newEXE=4 Data=14files 旧新DFM一致=True,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=0 events=なし,SAFE_INDEX_ONLY,独立リテラル0（'Classic'は全CODE中0出現、'Long'の一致は'Longitude'等の部分文字列のみ）。TRadioGroup（状態=ItemIndex、DFMにItemIndex=0保持）・イベントハンドラなし・旧新DFM一致・Preferencesに文字列/該当キーなし。戦闘生成時の一時パラメータで恒常保存面も未検出
TDLGAIRCRAFTREQUEST/rgPriority1/Items.Strings[0],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority1,Items.Strings[0],Speed,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=144 ANSISTRING=14 short=0 newEXE=0 Data=4files 旧新DFM一致=True,独立リテラル14件（文脈: [ansistring] ...ame...........Course..........||...........Side............Forma）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING14件 — 'Course'/'Side'/'Formation' と並ぶ艦シリアライズキー名と完全一致
TDLGAIRCRAFTREQUEST/rgPriority1/Items.Strings[1],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority1,Items.Strings[1],Maneuverability,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=0 ANSISTRING=0 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNRESOLVED,独立リテラル0（キーは 'Maneuver'）だが、同グループ5/7がキー名一致のためグループ一括保留
TDLGAIRCRAFTREQUEST/rgPriority1/Items.Strings[2],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority1,Items.Strings[2],Range,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=72 ANSISTRING=5 short=1 newEXE=2 Data=9files 旧新DFM一致=True,独立リテラル6件（文脈: [short] ...ionT.@.....8.D.L.D............||..@........................SmoothT.@.）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING5件+Short1件 — セーブキー名クラスタと一致
TDLGAIRCRAFTREQUEST/rgPriority1/Items.Strings[3],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority1,Items.Strings[3],Bomb load,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=0 ANSISTRING=0 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNRESOLVED,独立リテラル0（キーは 'LtBombLoadSize'）だが、同グループ一括保留
TDLGAIRCRAFTREQUEST/rgPriority1/Items.Strings[4],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority1,Items.Strings[4],Firepower,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=4 ANSISTRING=2 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル2件（文脈: [ansistring] .........HvyEndurance............||...........Maneuver............T）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING2件 — 'Maneuver'/'Toughness' と並ぶ機体ステータスキー名と一致
TDLGAIRCRAFTREQUEST/rgPriority1/Items.Strings[5],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority1,Items.Strings[5],Toughness,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=2 ANSISTRING=2 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル2件（文脈: [ansistring] .............Maneuver............||...........Reliability.........L）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING2件 — 同上キー名と一致
TDLGAIRCRAFTREQUEST/rgPriority1/Items.Strings[6],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority1,Items.Strings[6],Reliability,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=5 ANSISTRING=3 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル3件（文脈: [ansistring] ...._^[..]...........-...........||.........Location............Sta）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING3件 — 同上キー名と一致
TDLGAIRCRAFTREQUEST/rgPriority2/Items.Strings[0],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority2,Items.Strings[0],Speed,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=144 ANSISTRING=14 short=0 newEXE=0 Data=4files 旧新DFM一致=True,独立リテラル14件（文脈: [ansistring] ...ame...........Course..........||...........Side............Forma）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING14件 — 'Course'/'Side'/'Formation' と並ぶ艦シリアライズキー名と完全一致
TDLGAIRCRAFTREQUEST/rgPriority2/Items.Strings[1],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority2,Items.Strings[1],Maneuverability,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=0 ANSISTRING=0 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNRESOLVED,独立リテラル0（キーは 'Maneuver'）だが、同グループ5/7がキー名一致のためグループ一括保留
TDLGAIRCRAFTREQUEST/rgPriority2/Items.Strings[2],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority2,Items.Strings[2],Range,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=72 ANSISTRING=5 short=1 newEXE=2 Data=9files 旧新DFM一致=True,独立リテラル6件（文脈: [short] ...ionT.@.....8.D.L.D............||..@........................SmoothT.@.）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING5件+Short1件 — セーブキー名クラスタと一致
TDLGAIRCRAFTREQUEST/rgPriority2/Items.Strings[3],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority2,Items.Strings[3],Bomb load,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=0 ANSISTRING=0 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNRESOLVED,独立リテラル0（キーは 'LtBombLoadSize'）だが、同グループ一括保留
TDLGAIRCRAFTREQUEST/rgPriority2/Items.Strings[4],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority2,Items.Strings[4],Firepower,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=4 ANSISTRING=2 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル2件（文脈: [ansistring] .........HvyEndurance............||...........Maneuver............T）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING2件 — 'Maneuver'/'Toughness' と並ぶ機体ステータスキー名と一致
TDLGAIRCRAFTREQUEST/rgPriority2/Items.Strings[5],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority2,Items.Strings[5],Toughness,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=2 ANSISTRING=2 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル2件（文脈: [ansistring] .............Maneuver............||...........Reliability.........L）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING2件 — 同上キー名と一致
TDLGAIRCRAFTREQUEST/rgPriority2/Items.Strings[6],TDLGAIRCRAFTREQUEST,dlgaircraftrequest,rgPriority2,Items.Strings[6],Reliability,(英語のまま),AIRCRAFTREQUEST,medium,oldCODE raw=5 ANSISTRING=3 short=0 newEXE=0 Data=0files 旧新DFM一致=True,独立リテラル3件（文脈: [ansistring] ...._^[..]...........-...........||.........Location............Sta）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TRadioGroup Style=(default) ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING3件 — 同上キー名と一致
